ID,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,NumEntrenamientos,ConteoCorrecto11-14,Conteocorrecto_Target11-14,NumEntrenamientos2,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_porcentajecorrecto,ANT_porcentaje_correctas_62.56,ANT_porcentaje_correctas_62.564_filtered,Alerta_62.56,Orientacion_62.56,Conflicto_62.56,Central_Cue_rt,Spatial_Cue_rt,Central_Cue_filtered,Spatial_Cue_filtered,ANT_Filtrado,Alerta_filtrado2,Orientacion_filtrado3,Conflicto_filtrado4,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
27,0,1,1,1,6,80,0,9.8,12,1,3,1,1,2,1,1,4.153846154,4.384615385,4.461538462,2.846153846,5.692307692,5.384615385,5.666666667,4.583333333,3.916666667,3.769230769,4.923076923,5.153846154,4.923076923,5.333333333,4,4.6,4.214285714,4.802051282,4.571794872,4.487179487,4.852564103,117.5,100.5,-91.5,74,49.30555556,17,11.56462585,57,38.7755102,50.69444444,0,,,,,1019.285714,978.2857143,,,,,,,3,3,1,1,0,1,#N/A,1,#N/A,#N/A,1,1,0
28,0,1,1,1,6,76,1,9.3,12,0,3,1,0,3,1,0,4.230769231,4.538461538,4.692307692,3.846153846,5.230769231,4.461538462,4.5,3.916666667,4,3.384615385,5.076923077,5.461538462,5.538461538,4.416666667,5,4.8,4.928571429,5.043333333,4.175641026,4.5,5.104166667,4,32.5,68,43,27.77777778,20,13.60544218,23,15.6462585,72.22222222,1,72.22222222,4,32.5,68,1039.285714,979.625,1039.285714,979.625,72.22222222,4,32.5,68,2,2,1,0,0,1,1,#N/A,#N/A,1,0,0,0
29,0,1,1,1,6,80,1,8,12,0,3,1,0,1,1,0,3.153846154,5.333333333,5.692307692,5,5.538461538,1.769230769,4.416666667,4.416666667,3.75,4.230769231,4.923076923,5.076923077,5.307692308,5.5,4.333333333,3.8,4.142857143,4.803589744,4.347435897,4.414529915,5.054487179,145,2.5,132,22,13.19444444,1,0.680272109,21,14.28571429,86.80555556,1,86.80555556,145,2.5,132,749.84375,767.9354839,749.84375,767.9354839,86.80555556,145,2.5,132,3,3,1,1,0,1,#N/A,#N/A,0,1,1,0,1
30,0,1,1,1,,,0,9.6,12,1,3,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0,1,1,1,6,80,1,8.9,,,3,NA,NA,NA,NA,NA,4.923076923,4.769230769,5.230769231,4.769230769,4.461538462,3.461538462,4.166666667,4.083333333,4.083333333,3.833333333,4.846153846,3.538461538,4.076923077,4.166666667,4,4,4,3.956410256,4.202564103,4.602564103,3.945512821,33.5,50,168,28,17.36111111,7,4.761904762,21,14.28571429,82.63888889,1,82.63888889,33.5,50,168,814.6129032,828.6129032,814.6129032,828.6129032,82.63888889,33.5,50,168,0,0,0,0,1,0,0,#N/A,#N/A,0,0,1,1
32,0,1,1,1,6,81,1,9,12,1,3,1,1,2,1,1,4.461538462,5,5.333333333,4.384615385,5.272727273,2.846153846,4.166666667,2.916666667,3.083333333,3.307692308,5.076923077,5.166666667,5.384615385,3.666666667,4.666666667,4.8,4.714285714,4.736923077,3.71025641,4.54972805,4.721153846,34,89.5,9.5,17,9.722222222,0,0,17,11.56462585,90.27777778,1,90.27777778,34,89.5,9.5,781.9705882,699,781.9705882,699,90.27777778,34,89.5,9.5,2,0,1,0,0,0,#N/A,0,#N/A,#N/A,0,1,0
33,0,1,1,1,6,72,0,9.8,12,1,3,1,1,2,1,1,5.076923077,4.615384615,5.538461538,4.769230769,5.384615385,3.769230769,3.636363636,3.9,4.363636364,4.384615385,4.363636364,4.583333333,5.090909091,4.777777778,4.222222222,3.6,4,4.454848485,4.12965035,4.858974359,4.668560606,4,41,142.5,39,25,10,6.802721088,29,19.72789116,75,1,75,4,41,142.5,823.1153846,846,823.1153846,846,75,4,41,142.5,0,0,0,0,1,0,0,#N/A,1,#N/A,0,#N/A,1
34,0,1,1,1,6,82,0,9.1,11,1,3,1,1,1,0,0,4.615384615,4.846153846,4.615384615,4.076923077,4.615384615,2.538461538,4.583333333,4,4.416666667,3.384615385,4.769230769,5.153846154,5.076923077,5.166666667,4.75,4.6,4.692307692,4.949487179,4.230769231,4.217948718,5.036858974,33.5,10.5,64,45,29.16666667,24,16.32653061,21,14.28571429,70.83333333,1,70.83333333,33.5,10.5,64,1030.148148,1063.954545,1030.148148,1063.954545,70.83333333,33.5,10.5,64,2,2,1,0,0,1,#N/A,#N/A,0,1,0,0,0
35,0,1,1,1,6,79,0,8.3,,,3,NA,NA,NA,NA,NA,4.769230769,4.461538462,4.384615385,4.307692308,3.923076923,3.923076923,4.583333333,3.416666667,3.5,2.307692308,5.538461538,5.692307692,4.923076923,4.833333333,4.666666667,4.6,4.642857143,4.943076923,3.869230769,4.294871795,5.028846154,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,#N/A,0,0,#N/A,NA,NA,NA
36,0,1,1,1,6,75,1,7.6,,,3,NA,NA,NA,NA,NA,5.692307692,4.923076923,6.153846154,4.272727273,4.615384615,3.076923077,3.333333333,5,5.083333333,3.75,4.538461538,4.818181818,5.3,4.916666667,3.444444444,5.6,4.214285714,4.815858586,4.341025641,4.789044289,4.619823232,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,0,#N/A,#N/A,1,#N/A,NA,NA,NA
37,0,1,1,1,6,76,1,7.8,,,3,NA,NA,NA,NA,NA,5.846153846,4.615384615,5.538461538,4.461538462,5.307692308,2.923076923,4.181818182,3.916666667,3.583333333,3.615384615,4.25,3.923076923,4.461538462,4.636363636,3.666666667,3.8,3.714285714,4.097529138,3.909440559,4.782051282,4.171911422,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,#N/A,0,NA,NA,NA
38,0,1,1,1,,,0,8.9,12,1,3,1,1,1,1,1,5.166666667,5.538461538,5.076923077,4.538461538,4.923076923,3.615384615,3.818181818,3.5,3.666666667,4.538461538,4.083333333,4.692307692,5.846153846,4.583333333,4.666666667,3.6,4.285714286,4.677692308,3.921328671,4.80982906,4.947115385,121,-14.5,66.5,36,22.91666667,9,6.12244898,27,18.36734694,77.08333333,1,77.08333333,121,-14.5,66.5,957.0769231,892.6333333,957.0769231,892.6333333,77.08333333,121,-14.5,66.5,0,2,0,0,1,1,#N/A,0,1,#N/A,1,0,0
39,0,1,1,1,6,75,1,8.2,14,1,3,1,1,2,0,0,5.153846154,4.538461538,5.461538462,4.769230769,5.384615385,2.769230769,3.333333333,4.416666667,4,4.923076923,4.230769231,3.923076923,4.461538462,4.75,2.888888889,3.4,3.071428571,3.884700855,4.180769231,4.679487179,4.005876068,-216,69.5,10,49,31.94444444,12,8.163265306,37,25.17006803,68.05555556,1,68.05555556,-216,69.5,10,1012.923077,941.5185185,1012.923077,941.5185185,,,,,0,0,0,0,1,0,0,#N/A,#N/A,0,0,1,0
